PID,BIAS,RELATEDNESS,REPS,MS
4,subordinate,related,long,457
4,subordinate,related,long,
4,subordinate,related,long,914
4,subordinate,related,long,1111
4,subordinate,related,long,1225
4,subordinate,related,long,
4,subordinate,related,long,
4,subordinate,related,long,
4,subordinate,related,long,2218
4,subordinate,related,short,508
4,subordinate,related,short,621
4,subordinate,related,short,652
4,subordinate,related,short,853
4,subordinate,related,short,1083
4,subordinate,related,short,1132
4,subordinate,related,short,1355
4,subordinate,related,short,
4,subordinate,related,short,1771
4,subordinate,unrelated,long,
4,subordinate,unrelated,long,
4,subordinate,unrelated,long,
4,subordinate,unrelated,long,
4,subordinate,unrelated,long,1359
4,subordinate,unrelated,long,
4,subordinate,unrelated,long,1679
4,subordinate,unrelated,long,2912
4,subordinate,unrelated,long,2999
4,subordinate,unrelated,short,444
4,subordinate,unrelated,short,
4,subordinate,unrelated,short,539
4,subordinate,unrelated,short,
4,subordinate,unrelated,short,802
4,subordinate,unrelated,short,1972
4,subordinate,unrelated,short,
4,subordinate,unrelated,short,3004
4,subordinate,unrelated,short,3053
5,dominant,related,long,934
5,dominant,related,long,1008
5,dominant,related,long,1242
5,dominant,related,long,1304
5,dominant,related,long,
5,dominant,related,long,1351
5,dominant,related,long,1718
5,dominant,related,long,
5,dominant,related,long,1878
5,dominant,related,short,763
5,dominant,related,short,924
5,dominant,related,short,1086
5,dominant,related,short,1092
5,dominant,related,short,1147
5,dominant,related,short,1171
5,dominant,related,short,
5,dominant,related,short,2245
5,dominant,related,short,2507
5,dominant,unrelated,long,1104
5,dominant,unrelated,long,1161
5,dominant,unrelated,long,1312
5,dominant,unrelated,long,1344
5,dominant,unrelated,long,1592
5,dominant,unrelated,long,1664
5,dominant,unrelated,long,1704
5,dominant,unrelated,long,
5,dominant,unrelated,long,4221
5,dominant,unrelated,short,956
5,dominant,unrelated,short,1054
5,dominant,unrelated,short,1066
5,dominant,unrelated,short,1268
5,dominant,unrelated,short,1466
5,dominant,unrelated,short,1484
5,dominant,unrelated,short,1572
5,dominant,unrelated,short,1604
5,dominant,unrelated,short,1619
5,filler,related,long,
5,filler,related,long,881
5,filler,related,long,944
5,filler,related,long,997
5,filler,related,long,999
5,filler,related,long,1072
5,filler,related,long,
5,filler,related,long,1270
5,filler,related,long,1297
5,filler,related,long,1312
5,filler,related,long,1331
5,filler,related,long,1342
5,filler,related,long,
5,filler,related,long,
5,filler,related,long,1592
5,filler,related,short,676
5,filler,related,short,704
5,filler,related,short,760
5,filler,related,short,821
5,filler,related,short,988
5,filler,related,short,1163
5,filler,related,short,1344
5,filler,related,short,
5,filler,related,short,1476
5,filler,related,short,
5,filler,related,short,1523
5,filler,related,short,1557
5,filler,related,short,2510
5,filler,related,short,3643
5,filler,related,short,
5,filler,unrelated,long,831
5,filler,unrelated,long,944
5,filler,unrelated,long,986
5,filler,unrelated,long,1147
5,filler,unrelated,long,1192
5,filler,unrelated,long,1370
5,filler,unrelated,long,1398
5,filler,unrelated,long,1487
5,filler,unrelated,long,1489
5,filler,unrelated,long,1655
5,filler,unrelated,long,1777
5,filler,unrelated,long,1798
5,filler,unrelated,long,1816
5,filler,unrelated,long,2278
5,filler,unrelated,long,5638
5,filler,unrelated,short,761
5,filler,unrelated,short,842
5,filler,unrelated,short,868
5,filler,unrelated,short,950
5,filler,unrelated,short,
5,filler,unrelated,short,1139
5,filler,unrelated,short,1227
5,filler,unrelated,short,1316
5,filler,unrelated,short,1480
5,filler,unrelated,short,1550
5,filler,unrelated,short,1724
5,filler,unrelated,short,1844
5,filler,unrelated,short,1932
5,filler,unrelated,short,2157
5,filler,unrelated,short,2507
5,subordinate,related,long,
5,subordinate,related,long,1102
5,subordinate,related,long,
5,subordinate,related,long,
5,subordinate,related,long,1152
5,subordinate,related,long,1237
5,subordinate,related,long,1320
5,subordinate,related,long,
5,subordinate,related,long,1870
5,subordinate,related,short,
5,subordinate,related,short,901
5,subordinate,related,short,
5,subordinate,related,short,934
5,subordinate,related,short,972
5,subordinate,related,short,1190
5,subordinate,related,short,1722
5,subordinate,related,short,2234
5,subordinate,related,short,
5,subordinate,unrelated,long,944
5,subordinate,unrelated,long,1109
5,subordinate,unrelated,long,1120
